	en	fr
695	9	14
696	52	64
697	56	68
698	39	60
699	53	99
700	28	34
701	45	70
702	37	58
703	44	85
704	42	62
705	60	90
706	62	93
707	24	37
708	47	62
709	6	11
710	34	55
711	30	40
712	60	81
713	58	98
714	55	74
715	67	101
716	73	108
717	26	40
718	26	40
719	35	61
720	22	35
721	29	45
722	12	25
723	33	48
724	61	86
725	25	32
726	29	52
727	38	49
728	44	63
729	15	26
730	25	38
731	21	41
732	12	22
733	29	45
734	26	40
735	60	78
736	21	31
737	46	69
738	26	38
739	52	74
740	17	25
741	51	72
742	9	13
743	60	102
744	37	46
745	23	32
746	3	7
747	38	57
748	41	63
749	34	43
750	42	72
751	9	11
752	28	39
753	29	42
754	36	67
755	53	61
756	20	32
757	19	38
758	22	38
759	38	54
760	34	47
761	22	37
762	47	76
763	2	2
764	90	101
765	52	66
766	12	15
767	2	4
768	85	117
769	40	41
770	34	60
771	39	40
772	13	33
773	50	84
774	16	35
775	23	42
776	29	48
777	70	131
778	77	128
779	84	128
780	22	39
781	47	80
782	66	113
783	10	21
784	42	63
785	21	38
786	35	57
787	40	55
788	28	54
789	7	14
790	27	56
791	9	14
792	104	138
793	83	113
794	43	74
795	44	62
796	75	112
797	17	25
798	134	201
799	32	58
800	61	81
801	28	52
802	52	69
803	48	80
804	25	37
805	59	81
806	46	77
807	102	145
808	25	34
809	58	76
810	55	77
811	16	23
812	22	42
813	20	36
814	46	78
815	55	97
816	59	91
817	38	58
818	47	85
819	15	23
820	15	29
821	20	32
822	29	40
823	29	48
824	24	36
825	24	38
826	97	129
827	27	44
828	32	40
829	35	54
830	24	33
831	29	40
832	41	65
833	35	52
834	21	34
835	27	39
836	54	85
837	15	25
838	2	2
839	32	42
840	8	55
841	118	143
842	79	134
843	45	62
844	26	39
845	47	72
846	32	66
847	38	62
848	20	34
849	20	33
850	7	15
851	20	28
852	42	69
853	22	46
854	28	45
855	27	53
856	49	79
857	9	17
858	47	61
859	37	55
860	7	13
861	79	127
862	12	16
863	15	27
864	30	42
865	38	56
866	32	54
867	20	44
868	20	36
869	18	40
870	33	53
871	64	98
872	36	55
873	47	92
874	1	1
875	26	37
876	27	46
877	42	80
878	25	33
879	23	55
880	34	45
881	27	45
882	27	43
883	18	33
884	25	34
885	41	65
886	11	23
887	14	23
888	23	32
889	26	30
890	36	53
891	68	105
892	28	46
893	26	26
894	14	15
895	83	102
896	39	60
897	27	47
898	49	59
899	39	47
900	27	39
901	18	39
902	39	66
903	36	47
904	22	36
905	58	83
906	28	47
907	35	54
908	20	29
909	3	3
910	52	86
911	19	25
912	25	41
913	16	28
914	17	26
915	51	89
916	77	104
917	71	119
918	8	13
919	39	56
920	40	55
921	46	70
922	33	38
923	37	52
924	6	11
925	12	21
926	63	104
927	37	48
928	19	42
929	64	96
930	35	54
931	21	30
932	37	55
933	36	64
934	28	37
935	16	27
936	39	53
937	55	83
938	10	18
939	33	50
940	48	59
941	24	36
942	31	43
943	20	29
944	16	32
945	24	32
946	29	52
947	44	57
948	41	69
949	68	100
950	59	65
951	39	62
952	32	48
953	11	23
954	25	35
955	25	41
956	39	56
957	38	53
958	10	16
959	16	21
960	17	26
961	30	46
962	44	65
963	96	155
964	16	25
965	11	20
966	10	13
967	28	51
968	20	34
969	34	46
970	22	28
971	30	48
972	37	49
973	35	44
974	38	53
975	57	81
976	17	22
977	19	34
978	17	28
979	39	50
980	57	83
981	48	66
982	20	27
983	17	22
984	38	59
985	9	13
986	15	23
987	13	21
988	26	34
989	28	52
990	16	29
991	21	32
992	21	27
993	95	135
994	47	63
995	8	11
996	27	48
997	24	42
998	19	30
999	23	38
1000	17	21
1001	27	37
1002	34	51
1003	10	13
1004	22	40
1005	7	12
1006	58	74
1007	46	68
1008	24	30
1009	20	37
1010	13	17
1011	47	67
1012	26	43
1013	32	46
1014	11	21
1015	46	72
1016	38	56
1017	18	28
1018	12	25
1019	21	31
1020	15	26
1021	13	23
1022	22	34
1023	6	8
1024	12	25
1025	20	31
1026	46	71
1027	24	34
1028	19	24
1029	44	69
1030	74	119
1031	29	40
1032	31	50
1033	9	15
1034	28	47
1035	25	43
1036	30	46
1037	19	31
1038	58	78
1039	23	37
1040	25	48
1041	17	26
1042	28	36
1043	17	24
1044	20	29
1045	15	21
1046	34	48
1047	24	34
1048	14	14
1049	17	27
1050	31	40
1051	57	86
1052	59	78
1053	18	32
1054	22	32
1055	19	31
1056	28	43
1057	19	32
1058	50	81
1059	36	59
1060	59	79
1061	47	63
1062	60	92
1063	4	4
1064	15	23
1065	18	25
1066	24	37
1067	19	34
1068	21	32
1069	15	28
1070	12	24
1071	21	33
1072	15	29
1073	34	61
1074	32	48
1075	42	58
1076	7	10
1077	36	74
1078	61	146
1079	53	158
1080	31	102
1081	84	206
1082	68	112
1083	3	3
1084	36	59
1085	37	60
1086	45	61
1087	32	50
1088	31	54
1089	84	140
1090	50	70
1091	18	30
1092	18	24
1093	3	6
1094	24	38
1095	52	76
1096	46	74
1097	11	15
1098	38	44
1099	14	28
1100	64	81
1101	18	28
1102	59	86
1103	47	64
1104	23	41
1105	31	42
1106	59	76
1107	23	33
1108	14	29
1109	48	77
1110	48	70
1111	76	120
1112	18	33
1113	61	92
1114	68	91
1115	40	57
1116	37	56
1117	8	16
1118	25	43
1119	33	45
1120	69	108
1121	45	81
1122	39	57
1123	126	195
1124	29	42
1125	42	54
1126	35	56
1127	21	29
1128	36	58
1129	11	18
1130	45	78
1131	14	23
1132	31	45
1133	18	22
1134	17	21
1135	25	31
1136	41	53
1137	62	98
1138	24	37
1139	11	14
1140	67	103
1141	18	28
1142	9	15
1143	29	46
1144	32	42
1145	43	61
1146	9	13
1147	43	63
1148	33	55
1149	15	22
1150	31	49
1151	13	22
1152	9	20
1153	13	16
1154	18	25
1155	17	29
1156	57	88
1157	58	86
1158	39	59
1159	25	42
1160	33	56
1161	21	38
1162	13	14
1163	31	42
1164	97	141
1165	19	29
1166	11	16
1167	33	50
1168	17	25
1169	13	19
1170	24	32
1171	22	37
1172	21	28
1173	78	124
1174	23	30
1175	49	75
1176	17	27
1177	8	14
1178	25	41
1179	28	42
1180	39	71
1181	52	72
1182	20	23
1183	45	63
1184	19	28
1185	44	65
1186	31	48
1187	18	33
1188	17	30
1189	66	101
1190	77	106
1191	44	68
1192	12	21
1193	17	25
1194	15	22
1195	63	111
1196	50	65
1197	38	52
1198	29	39
1199	26	41
1200	29	39
1201	37	55
1202	36	57
1203	51	79
1204	35	60
1205	13	19
1206	18	30
1207	39	51
1208	22	32
1209	27	43
1210	9	15
1211	50	75
1212	19	32
1213	24	39
1214	50	57
1215	21	23
1216	36	48
1217	86	147
1218	15	26
1219	21	28
1220	36	56
1221	10	16
1222	11	14
1223	40	55
1224	21	27
1225	110	123
1226	9	11
1227	16	25
1228	15	19
1229	7	9
1230	31	42
1231	36	62
1232	20	30
1233	34	51
1234	15	21
1235	32	52
1236	44	61
1237	50	65
1238	28	40
1239	28	36
1240	35	51
1241	30	50
1242	15	21
1243	39	62
1244	18	26
1245	104	160
1246	85	141
1247	39	54
1248	9	12
1249	10	16
1250	38	54
1251	18	23
1252	27	43
1253	49	75
1254	18	24
1255	36	50
1256	7	10
1257	14	20
1258	24	38
1259	28	40
1260	27	39
1261	3	3
1262	26	38
1263	24	29
1264	28	34
1265	88	146
1266	13	27
1267	34	49
1268	41	55
1269	13	20
1270	73	113
1271	15	26
1272	32	43
1273	10	17
1274	25	38
1275	34	57
1276	53	94
1277	12	21
1278	21	41
1279	45	67
1280	33	50
1281	19	27
1282	24	38
1283	22	38
1284	82	122
1285	6	12
1286	47	80
1287	18	29
1288	25	47
1289	21	34
1290	35	47
1291	17	24
1292	33	52
1293	27	47
1294	15	23
1295	15	28
1296	28	50
1297	44	83
1298	15	22
1299	19	35
1300	37	46
1301	14	22
1302	37	47
1303	22	33
1304	20	23
1305	8	11
1306	18	27
1307	32	40
1308	22	37
1309	8	15
1310	65	77
1311	31	53
1312	24	39
1313	18	38
1314	19	29
1315	52	95
1316	16	25
1317	52	89
1318	30	38
1319	25	30
1320	37	53
1321	45	69
1322	55	79
1323	25	32
1324	44	61
1325	52	72
1326	12	18
1327	21	34
1328	28	41
1329	20	31
1330	36	61
1331	7	13
1332	47	69
1333	33	54
1334	18	30
1335	34	64
1336	21	31
1337	15	23
1338	60	86
1339	25	47
1340	46	65
1341	23	34
1342	29	35
1343	27	41
1344	35	56
1345	37	66
1346	14	19
1347	11	23
1348	30	49
1349	42	68
1350	15	21
1351	36	56
1352	28	36
1353	29	40
1354	15	20
1355	49	79
1356	50	84
1357	45	63
1358	35	54
1359	18	31
1360	10	12
1361	32	44
1362	28	55
1363	43	71
1364	22	28
1365	19	28
1366	32	53
1367	37	52
1368	36	58
1369	30	55
1370	26	43
1371	13	22
1372	8	12
1373	21	43
1374	15	28
1375	23	29
1376	21	39
1377	41	61
1378	28	34
1379	30	43
1380	12	24
1381	12	17
1382	37	42
1383	10	13
1384	10	21
1385	75	106
1386	16	27
1387	23	42
1388	24	36
1389	29	45
1390	27	39
1391	41	60
1392	37	50
1393	18	24
1394	9	14
1395	13	21
1396	59	84
1397	4	4
1398	41	68
1399	43	58
1400	34	57
1401	15	20
1402	30	42
1403	39	62
1404	33	36
1405	13	13
1406	11	11
1407	11	11
1408	25	25
1409	14	14
1410	13	13
1411	28	28
1412	6	9
1413	29	56
1414	14	23
1415	32	63
1416	29	38
1417	16	33
1418	26	43
1419	18	26
1420	61	89
1421	50	79
1422	60	110
1423	42	86
1424	16	24
1425	34	39
1426	128	208
1427	51	84
1428	52	70
1429	38	59
1430	38	50
1431	63	97
1432	35	56
1433	13	23
1434	55	90
1435	40	67
1436	66	96
1437	83	110
1438	82	118
1439	70	103
1440	40	61
1441	83	107
1442	48	63
1443	49	81
1444	18	21
1445	70	100
1446	22	34
1447	72	94
1448	20	31
1449	79	111
1450	73	115
1451	66	104
1452	43	78
1453	76	112
1454	37	59
1455	28	44
1456	22	28
1457	53	71
1458	36	43
1459	44	61
1460	113	130
1461	13	23
1462	48	68
1463	25	44
1464	37	60
1465	72	105
1466	42	67
1467	26	44
1468	46	88
1469	67	105
1470	53	62
1471	48	86
1472	24	35
1473	66	96
1474	40	69
1475	21	33
1476	16	29
1477	41	63
1478	49	68
1479	37	49
1480	19	31
1481	47	71
1482	60	94
1483	30	66
1484	34	69
1485	62	96
1486	27	48
1487	32	62
1488	25	35
1489	31	40
1490	36	55
1491	19	41
1492	46	74
1493	63	98
1494	27	39
1495	27	59
1496	29	41
1497	18	24
1498	37	65
1499	21	33
1500	47	82
1501	51	78
1502	47	87
1503	31	60
1504	47	81
1505	70	89
1506	22	37
1507	141	187
1508	30	51
1509	68	107
1510	33	52
1511	27	38
1512	31	54
1513	30	47
1514	75	111
1515	18	36
1516	35	55
1517	26	32
1518	21	34
1519	39	59
1520	42	62
1521	73	108
1522	51	75
1523	26	38
1524	67	105
1525	38	49
1526	29	48
1527	52	73
1528	30	57
1529	34	57
1530	62	97
1531	45	68
1532	23	38
1533	33	57
1534	34	49
1535	32	47
1536	26	53
1537	9	11
1538	112	164
1539	24	45
1540	12	22
1541	39	67
1542	22	38
1543	34	69
1544	48	75
1545	48	83
1546	35	62
1547	10	16
1548	10	12
1549	18	24
1550	20	37
1551	8	13
1552	16	31
1553	80	114
1554	50	81
1555	61	97
1556	12	22
1557	51	70
1558	3	3
1559	29	51
1560	23	43
1561	21	33
1562	13	25
1563	39	71
1564	48	86
1565	26	51
1566	41	65
1567	17	37
1568	55	122
1569	41	79
1570	22	41
1571	49	73
1572	48	81
1573	48	62
1574	44	73
1575	61	85
1576	27	48
1577	10	17
1578	77	114
1579	32	63
1580	23	26
1581	26	46
1582	207	348
1583	20	31
1584	34	53
1585	24	47
1586	48	81
1587	23	32
1588	43	78
1589	61	100
1590	15	26
1591	16	29
1592	32	64
1593	35	53
1594	27	48
1595	37	74
1596	14	20
1597	36	54
1598	45	90
1599	66	104
1600	30	46
1601	74	122
1602	41	62
1603	18	32
1604	42	57
1605	45	80
1606	22	40
1607	45	73
1608	21	29
1609	48	82
1610	35	68
1611	40	68
1612	57	94
1613	5	9
1614	33	60
1615	8	17
1616	32	59
1617	44	75
1618	69	110
1619	21	46
1620	25	35
1621	35	46
1622	32	50
1623	42	75
1624	34	56
1625	27	41
1626	45	77
1627	16	28
1628	32	54
1629	9	17
1630	99	150
1631	39	59
1632	19	29
1633	22	34
1634	61	101
1635	17	36
1636	24	42
1637	39	77
1638	26	43
1639	25	32
1640	33	47
1641	32	50
1642	41	64
1643	10	18
1644	41	67
1645	29	52
1646	34	68
1647	26	45
1648	15	24
1649	42	73
1650	25	37
1651	33	59
1652	39	71
1653	59	98
1654	6	6
1655	37	61
1656	20	40
1657	52	80
1658	29	66
1659	41	65
1660	72	121
1661	51	66
1662	13	18
1663	32	52
1664	35	57
1665	28	66
1666	37	58
1667	28	40
1668	55	100
1669	39	68
1670	49	84
1671	35	61
1672	29	45
1673	44	70
1674	42	83
1675	16	25
1676	34	64
1677	25	40
1678	53	89
1679	9	12
1680	36	61
1681	66	114
1682	45	98
1683	12	29
1684	28	45
1685	29	45
1686	31	61
1687	27	43
1688	28	44
1689	36	62
1690	52	73
1691	41	65
1692	43	82
1693	3	3
1694	30	60
1695	14	28
1696	36	53
1697	26	34
1698	48	79
1699	49	75
1700	37	68
1701	57	86
1702	32	48
1703	45	69
1704	77	129
1705	58	88
1706	59	90
1707	10	14
1708	15	26
1709	23	38
1710	19	43
1711	26	65
1712	20	34
1713	3	9
1714	20	31
1715	37	60
1716	38	57
1717	48	55
1718	32	40
1719	23	31
1720	32	49
1721	10	18
1722	37	54
1723	37	46
1724	50	81
1725	25	43
1726	28	42
1727	15	33
1728	40	62
1729	1	1
1730	27	33
1731	24	45
1732	57	70
1733	16	34
1734	19	27
1735	22	41
1736	18	31
1737	29	45
1738	63	93
1739	26	30
1740	6	11
1741	31	59
1742	24	41
1743	20	27
1744	25	30
1745	43	57
1746	23	38
1747	22	31
1748	34	47
1749	37	53
1750	17	17
1751	24	30
1752	39	51
1753	19	24
1754	24	32
1755	25	25
1756	10	17
1757	51	72
1758	46	60
1759	10	13
1760	29	41
1761	30	51
1762	23	28
1763	34	45
1764	35	59
1765	66	84
1766	27	39
1767	45	75
1768	33	55
1769	70	109
1770	2	5
1771	31	47
1772	46	55
1773	19	34
1774	33	45
1775	7	9
1776	48	75
1777	33	52
1778	58	94
1779	26	38
1780	42	64
1781	48	81
1782	30	35
1783	17	23
1784	23	30
1785	26	34
1786	25	40
1787	45	62
1788	46	65
1789	15	21
1790	23	30
1791	20	37
1792	30	44
1793	59	82
1794	26	39
1795	33	51
1796	19	33
1797	49	71
1798	49	74
1799	3	4
1800	17	25
1801	45	58
1802	48	71
1803	23	30
1804	126	191
1805	55	70
1806	50	65
1807	40	61
1808	27	44
1809	33	54
1810	15	24
1811	7	10
1812	13	20
1813	57	89
1814	18	36
1815	14	24
1816	46	61
1817	31	51
1818	13	25
1819	28	36
1820	22	37
1821	55	79
1822	25	35
1823	40	66
1824	14	25
1825	23	40
1826	6	7
1827	56	74
1828	41	50
1829	58	79
1830	43	57
1831	43	61
1832	33	41
1833	47	56
1834	16	29
1835	75	118
1836	33	37
1837	8	16
1838	25	40
1839	41	61
1840	31	48
1841	12	21
1842	49	76
1843	16	33
1844	35	68
1845	6	9
1846	20	34
1847	28	34
1848	27	38
1849	36	52
1850	32	50
1851	31	45
1852	39	57
1853	12	15
1854	84	112
1855	41	56
1856	39	55
1857	64	89
1858	3	3
1859	31	56
1860	20	41
1861	39	50
1862	32	48
1863	12	18
1864	12	18
1865	21	23
1866	38	45
1867	22	27
1868	40	52
1869	75	101
1870	14	21
1871	35	53
1872	29	45
1873	17	33
1874	21	39
1875	36	60
1876	12	25
1877	117	182
1878	71	122
1879	45	71
1880	52	70
1881	41	59
1882	8	11
1883	22	35
1884	56	98
1885	67	110
1886	8	17
1887	44	79
1888	36	48
1889	39	71
1890	43	71
1891	61	80
1892	23	40
1893	33	59
1894	28	47
1895	16	27
1896	43	67
1897	18	33
1898	53	72
1899	82	135
1900	121	157
1901	10	14
1902	38	53
1903	42	63
1904	25	38
1905	20	35
1906	32	45
1907	34	52
1908	42	67
1909	16	25
1910	19	28
1911	35	61
1912	15	23
1913	56	99
1914	40	56
1915	44	61
1916	27	34
1917	59	94
1918	6	15
1919	28	42
1920	54	85
1921	37	61
1922	29	50
1923	22	39
1924	68	100
1925	54	76
1926	14	19
1927	55	81
1928	52	76
1929	41	64
1930	28	48
1931	41	58
1932	22	29
1933	55	54
1934	18	27
1935	30	42
1936	27	38
1937	12	18
1938	19	24
1939	34	50
1940	30	39
1941	26	35
1942	27	54
1943	57	77
1944	25	43
1945	52	82
1946	17	22
1947	61	98
1948	26	34
1949	55	78
1950	11	18
1951	61	103
1952	46	52
1953	22	32
1954	24	37
1955	11	20
1956	90	133
1957	21	29
1958	25	44
1959	44	70
1960	13	22
1961	22	30
1962	7	6
1963	32	49
1964	61	92
1965	43	72
1966	22	32
1967	24	36
1968	40	57
1969	46	71
1970	46	63
1971	14	21
1972	38	61
1973	48	60
1974	45	56
1975	91	129
1976	38	66
1977	19	46
1978	44	67
1979	47	69
1980	41	58
1981	29	50
1982	33	46
1983	33	46
1984	39	60
1985	30	53
1986	36	59
1987	18	24
1988	21	31
1989	39	56
1990	14	19
1991	19	30
1992	53	83
1993	36	50
1994	64	83
1995	16	31
1996	47	80
1997	33	51
1998	28	40
1999	19	26
2000	62	85
2001	29	42
2002	32	53
2003	17	28
2004	57	90
2005	42	75
2006	40	71
2007	34	48
2008	41	49
2009	18	31
2010	23	33
2011	18	26
2012	67	101
2013	67	106
2014	34	53
2015	31	43
2016	12	20
2017	51	79
2018	12	16
2019	29	37
2020	26	32
2021	23	42
2022	44	59
2023	11	15
2024	38	57
2025	21	28
2026	13	19
2027	16	30
2028	48	65
2029	53	68
2030	21	34
2031	57	88
2032	66	97
2033	30	42
2034	24	40
2035	31	43
2036	15	19
2037	36	59
2038	24	44
2039	48	73
2040	40	59
2041	34	56
2042	27	36
2043	41	60
2044	11	15
2045	33	44
2046	14	20
2047	30	40
2048	17	26
2049	39	51
2050	21	33
2051	41	58
2052	39	57
2053	36	50
2054	45	71
2055	34	54
2056	22	41
2057	71	88
2058	23	42
2059	22	24
2060	39	54
2061	36	49
2062	34	55
2063	65	96
2064	17	24
2065	17	21
2066	45	61
2067	45	70
2068	36	51
2069	39	59
2070	130	173
2071	38	67
2072	17	22
2073	16	18
2074	37	59
2075	29	40
2076	36	53
2077	9	10
2078	11	19
2079	48	65
2080	68	102
2081	27	30
2082	77	96
2083	36	51
2084	33	54
2085	32	33
2086	89	121
2087	90	113
2088	64	99
2089	71	94
2090	29	43
2091	27	34
2092	84	108
2093	21	29
2094	73	94
2095	21	38
2096	40	59
2097	37	54
2098	46	59
2099	14	20
2100	76	93
2101	23	26
2102	43	59
2103	26	48
2104	71	107
2105	37	46
2106	36	59
2107	33	51
2108	66	76
2109	47	62
2110	27	44
2111	75	100
2112	11	20
2113	39	66
2114	84	133
2115	57	84
2116	57	92
2117	40	60
2118	46	72
2119	18	28
2120	26	39
2121	39	48
2122	17	20
2123	32	39
2124	10	13
2125	30	34
2126	34	56
2127	26	35
2128	15	27
2129	35	45
2130	22	37
2131	42	75
2132	24	39
2133	19	24
2134	38	49
2135	43	61
2136	35	56
2137	24	29
2138	40	57
2139	40	53
2140	36	59
