	en	fr
669	11	12
670	68	88
671	132	167
672	142	182
673	88	137
674	279	414
675	198	278
676	7	9
677	171	244
678	235	341
679	232	308
680	122	151
681	220	310
682	330	523
683	26	34
684	105	146
685	353	503
686	233	312
687	144	218
688	111	181
689	165	232
690	315	425
691	116	178
692	6	7
693	237	312
694	55	74
695	280	397
696	274	366
697	102	133
698	151	212
699	149	221
700	265	385
701	110	186
702	299	391
703	4	7
704	10	17
705	7	11
706	139	185
707	96	140
708	137	202
709	10	11
710	37	47
711	124	161
712	59	75
713	40	58
714	14	17
715	25	40
716	18	26
717	52	75
718	13	28
719	68	108
720	35	54
721	22	15
722	54	75
723	103	154
724	7	11
725	8	9
726	239	338
727	85	116
728	8	11
729	87	115
730	10	18
731	200	303
732	7	8
733	14	20
734	20	31
735	11	18
736	36	54
737	7	12
738	38	54
739	70	104
740	46	68
741	98	159
742	72	112
743	4	4
744	117	176
745	6	12
746	50	55
747	18	14
748	37	48
749	67	96
750	59	86
751	145	201
752	81	112
753	35	57
754	6	12
755	5	8
756	71	104
757	19	22
758	10	12
759	7	12
760	8	15
761	40	56
762	20	25
763	16	24
764	11	18
765	6	8
766	35	41
767	46	59
768	24	40
769	60	76
770	108	146
771	3	4
772	140	200
773	221	287
774	98	139
775	8	14
776	4	8
777	111	156
778	11	17
779	121	180
780	65	81
781	7	9
782	9	9
783	9	11
784	9	11
785	37	45
786	3	5
787	177	230
788	8	9
789	142	197
790	15	17
791	130	134
792	39	56
793	103	147
794	52	76
795	76	103
796	8	16
797	26	36
798	65	71
799	29	40
800	4	5
801	69	57
802	10	14
803	225	297
804	148	201
805	10	12
806	227	319
807	253	321
808	153	190
809	34	44
810	166	250
811	5	6
812	248	336
813	3	8
814	392	515
815	56	85
816	3	8
817	357	401
818	360	403
819	223	271
820	5	11
821	101	142
822	3	3
823	245	308
824	14	21
825	409	487
826	6	9
827	303	341
828	195	219
829	198	239
830	219	283
831	136	170
832	142	171
833	59	75
834	79	90
835	4	7
836	230	279
837	116	126
838	54	44
839	172	195
840	302	350
841	343	395
842	141	154
843	377	467
844	114	146
845	150	180
846	8	12
847	167	196
848	187	212
849	31	42
850	211	225
851	25	28
852	7	10
853	252	356
854	4	5
855	267	344
856	3	4
857	212	263
858	184	250
859	1	1
860	176	236
861	111	161
862	7	14
863	124	204
864	3	3
865	210	297
866	259	372
867	249	381
868	119	193
869	8	18
870	136	172
871	121	164
872	40	57
873	82	110
874	10	12
875	216	317
876	86	132
877	311	437
878	72	100
879	8	11
880	55	68
881	118	160
882	247	329
883	12	20
884	106	157
885	118	181
886	246	324
887	217	278
888	142	187
889	118	143
890	203	263
891	192	233
892	236	304
893	129	174
894	13	19
895	136	187
896	109	142
897	16	22
898	165	216
899	124	150
900	11	17
901	116	157
902	158	231
903	35	56
904	125	173
905	209	244
906	140	176
907	49	67
908	162	217
909	42	66
910	146	172
911	109	147
912	171	218
913	134	150
914	111	138
915	159	223
916	65	84
917	50	64
918	10	15
919	131	188
920	22	43
921	19	30
922	75	122
923	18	23
924	45	59
925	109	142
926	9	11
927	131	171
928	139	202
929	61	93
930	53	66
931	23	35
932	9	14
933	77	118
934	148	202
935	218	277
936	290	369
937	15	20
938	160	208
939	108	150
940	108	149
941	336	389
942	13	19
943	107	154
944	264	390
945	123	164
946	98	117
947	3	3
948	82	120
949	89	127
950	77	133
951	17	16
952	23	28
953	16	27
954	166	297
955	3	3
956	445	635
957	271	422
958	155	234
959	123	209
960	101	157
961	8	17
962	285	471
963	206	284
964	172	263
965	330	471
966	144	206
967	305	429
968	214	270
969	184	262
970	281	423
971	321	516
972	181	306
973	11	17
974	283	441
975	155	209
976	226	318
977	227	383
978	273	368
979	387	565
980	216	333
981	162	266
982	12	19
983	126	226
984	214	309
985	285	454
986	209	347
987	4	4
988	145	258
989	4	8
990	9	19
991	5	12
992	246	360
993	2	2
994	55	81
995	86	117
996	461	682
997	99	133
998	160	242
999	3	3
1000	146	222
1001	97	148
1002	175	281
1003	226	335
1004	7	9
1005	88	127
1006	175	244
1007	273	368
1008	121	180
1009	56	91
1010	6	10
1011	187	278
1012	156	240
1013	63	95
1014	292	388
1015	102	147
1016	101	154
1017	71	90
1018	8	13
1019	6	7
1020	34	56
1021	214	264
1022	262	372
1023	609	880
1024	297	376
1025	484	584
1026	122	138
1027	87	98
1028	6	7
1029	46	65
1030	159	213
1031	68	88
1032	68	94
1033	10	14
1034	612	797
1035	261	356
1036	3	3
1037	98	152
1038	91	130
1039	105	167
1040	4	8
1041	10	17
1042	2	4
1043	79	102
1044	36	44
1045	222	345
1046	3	3
1047	267	438
1048	323	494
1049	333	460
1050	45	49
1051	477	626
1052	63	101
1053	3	6
1054	6	11
1055	204	260
1056	139	223
1057	8	10
1058	362	556
1059	8	9
1060	214	312
1061	7	10
1062	245	397
1063	41	52
1064	3	6
1065	6	8
1066	372	491
1067	111	151
1068	128	201
1069	188	255
1070	7	12
1071	253	330
1072	259	346
1073	7	8
1074	198	298
1075	90	139
1076	286	396
1077	143	176
1078	167	251
1079	3	3
1080	9	13
1081	187	239
1082	180	268
1083	258	367
1084	10	20
1085	158	217
1086	292	410
1087	141	239
1088	10	20
1089	594	799
1090	210	301
1091	358	473
1092	10	20
1093	431	584
1094	9	9
1095	324	463
1096	363	515
1097	230	320
1098	149	223
1099	82	126
1100	9	12
1101	328	473
1102	184	272
1103	234	346
1104	237	333
1105	4	4
1106	259	412
1107	4	8
1108	9	19
1109	12	24
1110	153	253
1111	3	3
1112	208	276
1113	407	624
1114	104	159
1115	5	7
1116	66	108
1117	282	430
1118	208	333
1119	193	306
1120	157	232
1121	231	374
1122	305	428
1123	145	179
1124	5	9
1125	238	395
1126	10	13
1127	513	751
1128	166	249
1129	250	360
1130	8	11
1131	283	411
1132	198	297
1133	13	19
1134	144	232
1135	128	192
1136	75	119
1137	7	13
1138	179	291
1139	253	362
1140	268	406
1141	95	143
1142	279	424
1143	175	246
1144	299	445
1145	189	273
1146	9	18
1147	275	400
1148	217	284
1149	88	126
1150	319	496
1151	7	16
1152	268	411
1153	250	336
1154	153	209
1155	127	198
1156	51	79
1157	8	12
1158	9	17
1159	121	204
1160	232	373
1161	303	423
1162	541	836
1163	12	17
1164	142	225
1165	356	537
1166	323	483
1167	301	447
1168	3	3
1169	73	121
1170	185	301
1171	131	231
1172	73	107
1173	4	8
1174	8	14
1175	3	4
1176	23	37
1177	2	4
1178	81	96
1179	16	29
1180	262	447
1181	3	3
1182	419	558
1183	97	151
1184	113	137
1185	329	458
1186	122	193
1187	168	293
1188	7	8
1189	503	706
1190	311	480
1191	21	26
1192	94	140
1193	79	97
1194	380	589
1195	34	57
1196	312	441
1197	323	458
1198	122	204
1199	5	7
1200	42	66
1201	249	331
1202	222	329
1203	5	5
1204	171	213
1205	364	547
1206	158	234
1207	226	354
1208	12	32
1209	213	350
1210	134	183
1211	149	238
1212	222	335
1213	352	529
1214	9	16
1215	156	262
1216	1	1
1217	219	259
1218	14	31
1219	94	164
1220	317	471
1221	249	343
1222	143	219
1223	316	454
1224	245	357
1225	110	164
1226	6	9
1227	195	364
1228	4	8
1229	9	19
1230	2	4
1231	124	144
