	docid	Titre	Auteur	Série	Année	Vol.	Thém.	LO	Traducteur.trice	Version originale	Traduction
12	mersenne12	Captage et Stockage du CO2 : le puits de carbone géologique	Isabelle Czernichowski-Lauriol	CRGEOS	2020	352	Facing climate change, the range of possibilities	FR	Catherine W.	https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.20/	https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.20/
13	mersenne13	Les batteries sont-elles la bonne option pour un développement durable ?	Jean-Marie Tarascon	CRGEOS	2020	352	Facing climate change, the range of possibilities	FR	Catherine W.	https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.27/	https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.27/
14	mersenne14	Louis Pasteur : de la physico-chimie à la biologie 	Hervé This	CRCHIM	2022	25	Pasteur	FR	Catherine W.	https://comptes-rendus.academie-sciences.fr/chimie/articles/fr/10.5802/crchim.179/	https://comptes-rendus.academie-sciences.fr/chimie/articles/10.5802/crchim.179-en/
15	mersenne15	Les noms des éléments nous racontent leur histoire	Pierre Avenas	CRCHIM	2020	23	Variations autour du tableau périodique	FR	Catherine W.	https://comptes-rendus.academie-sciences.fr/chimie/articles/10.5802/crchim.21/	https://comptes-rendus.academie-sciences.fr/chimie/articles/en/10.5802/crchim.21/
16	mersenne16	Tableau périodique des éléments chimiques et actinides	Robert Guillaumont	CRCHIM	2020	23	Variations autour du tableau périodique	FR	Catherine W.	https://comptes-rendus.academie-sciences.fr/chimie/articles/10.5802/crchim.22/	https://comptes-rendus.academie-sciences.fr/chimie/articles/en/10.5802/crchim.22/
17	mersenne17	Huiles essentielles et chiralité moléculaire	Louisa Aribi-Zouioueche, Françoise Couic-Marinier	CRCHIM	2021	24	3	FR	Catherine W.	https://comptes-rendus.academie-sciences.fr/chimie/articles/10.5802/crchim.130/	https://comptes-rendus.academie-sciences.fr/chimie/articles/en/10.5802/crchim.130/
18	mersenne18	Glass as a biomaterial strategies for optimising bioactive glasses for clinical applications	Delia Brauer, Leena Hupa	CRGEOS	2022	352	Le verre, un matériau omniprésent	EN	Romain Dziegielinski	https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.134/	https://comptes-rendus.academie-sciences.fr/geoscience/articles/fr/10.5802/crgeos.134/
19	mersenne19	Glass, an ubiquitous material 	Daniel R. Neuville	CRGEOS	2022	352	Le verre, un matériau omniprésent	EN	Romain Dziegielinski	https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.171/	https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.171-fr/
20	mersenne20	Structure from glass to melt: a case study along the MgSiO–CaSiO join using neutron and X-ray diffraction 	Laurent Cormier , Louis Hennet , Gerald Lelong , Gabriel J. Cuello , Alexei Bytchkov	CRGEOS	2022	352	Le verre, un matériau omniprésent	EN	Romain Dziegielinski	https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.112/	https://comptes-rendus.academie-sciences.fr/geoscience/articles/fr/10.5802/crgeos.112/
21	mersenne21	Distributed fiber optics strain sensors: from long to short distance	Wilfried Blanc , Luca Schenato , Carlo Molardi , Luca Palmieri , Andrea Galtarossa , Daniele Tosi	CRGEOS	2022	352	Le verre, un matériau omniprésent	EN	Romain Dziegielinski	https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.129/	https://comptes-rendus.academie-sciences.fr/geoscience/articles/fr/10.5802/crgeos.129/
22	mersenne22	Rheological changes in melts and magmas induced by crystallization and strain rate 	Francesco Vetere , Gianluca Iezzi , Diego Perugini , Francois Holtz 	CRGEOS	2022	352	Le verre, un matériau omniprésent	EN	Romain Dziegielinski	https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.125/	https://comptes-rendus.academie-sciences.fr/geoscience/articles/fr/10.5802/crgeos.125/
